source_center,destination_center,time_bucket,evaluated_legs,median_carting_eta_min,median_ftl_eta_min,median_ftl_time_saving_min,median_break_even_ftl_premium,median_ftl_net_value,recommended_route_type,evidence_level
IND741123AAB,IND741126AAB,night,7,100.81296708605315,102.06980675340573,-1.2658433835785274,0.0,-500.0,Carting,low: one mode observed
IND741126AAB,IND741156AAA,morning,2,64.84266199506287,68.2771136663556,-3.4344516712927415,0.0,-500.0,Carting,low: one mode observed
IND741126AAB,IND741156AAA,night,5,66.32507399252296,69.97273029854674,-4.118339610535116,0.0,-500.0,Carting,low: one mode observed
IND303301AAB,IND303303AAA,evening,1,45.15016778646587,45.99640887085077,-0.8462410843849,0.0,-500.0,Carting,low: one mode observed
IND303301AAB,IND303303AAA,night,1,45.55681741766292,45.64145413420811,-0.0846367165451909,0.0,-500.0,Carting,low: one mode observed
IND303338AAB,IND303603AAB,night,1,84.06544377329452,86.01712899571106,-1.9516852224165433,0.0,-500.0,Carting,low: one mode observed
IND741201AAC,IND712311AAA,morning,1,458.228356922063,464.3162869946323,-6.087930072569293,0.0,-500.0,Carting,low: one mode observed
IND303702AAB,IND332001AAB,afternoon,1,155.38358967864897,158.0672954386391,-2.6837057599901186,0.0,-500.0,Carting,low: one mode observed
IND742102AAB,IND713130AAA,evening,7,224.88215556725464,237.53894877252003,-5.678933357794733,0.0,-500.0,Carting,low: one mode observed
IND305001AAC,IND305802AAA,evening,5,284.9671984025819,297.15037713916354,-11.503287295914276,0.0,-500.0,Carting,low: one mode observed
IND305001AAC,IND305901AAA,evening,5,239.39779642072907,255.73726957464208,-16.627435918580744,0.0,-500.0,Carting,low: one mode observed
IND742102AAB,IND742303AAB,evening,6,131.82322427013162,136.04509950738077,-4.989228408480855,0.0,-500.0,Carting,low: one mode observed
IND305001AAC,IND306401AAB,afternoon,3,308.7282691922749,325.34459194425403,-1.962736920276484,0.0,-500.0,Carting,low: one mode observed
IND305404AAA,IND305601AAC,morning,1,103.54052095940435,103.75364214987555,-0.21312119047119893,0.0,-500.0,Carting,low: one mode observed
IND742121AAB,IND742121AAA,night,7,69.9102846511436,69.79301798397631,-0.39724457993455076,0.0,-500.0,Carting,low: one mode observed
IND305601AAC,IND305001AAC,afternoon,5,93.76441653085088,95.36066396996503,-1.5639782889352603,0.0,-500.0,Carting,low: one mode observed
IND742148AAA,IND742225AAA,night,7,78.96205577872992,84.4355669843054,-4.829663141153844,0.0,-500.0,Carting,low: one mode observed
IND742149AAA,IND742148AAA,evening,4,101.22328930491915,107.38606228900944,-6.162772984090289,0.0,-500.0,Carting,low: one mode observed
IND742149AAA,IND742148AAA,night,1,91.12665106051391,93.04915020514778,-1.9224991446338748,0.0,-500.0,Carting,low: one mode observed
IND742223AAA,IND742226AAA,morning,1,101.13145493966543,102.23527166367057,-1.1038167240051422,0.0,-500.0,Carting,low: one mode observed
IND305624AAA,IND305404AAA,morning,4,158.73568897875447,160.74897366134422,-3.1641311709326345,0.0,-500.0,Carting,low: one mode observed
IND742225AAA,IND742223AAA,night,7,70.04966197629068,70.9479057284908,-0.893839330230989,0.0,-500.0,Carting,low: one mode observed
