source_center,destination_center,route_type,time_bucket,observation_count,median_osrm_time_min,median_actual_movement_min,median_actual_elapsed_min,median_movement_delay_ratio,median_excess_min,breach_rate,chronic_delay
IND000000ACB,IND121004AAB,Carting,evening,13,65.0,113.0,186.0,1.71875,47.0,1.0,True
IND000000ACB,IND121004AAB,Carting,night,9,66.0,142.0,200.0,2.169230769230769,76.0,1.0,True
IND000000ACB,IND122001AAA,Carting,afternoon,11,35.0,66.0,307.0,1.9411764705882353,32.0,1.0,True
IND000000ACB,IND122001AAA,Carting,evening,13,35.0,51.0,104.0,1.4444444444444444,16.0,0.9230769230769231,True
IND000000ACB,IND122001AAA,Carting,morning,2,34.5,62.0,373.5,1.7945378151260505,27.5,1.0,False
IND000000ACB,IND122001AAA,Carting,night,13,35.0,68.0,124.0,1.9714285714285715,34.0,1.0,True
IND000000ACB,IND122015AAC,Carting,night,2,34.5,84.5,245.0,2.4449579831932775,50.0,1.0,False
IND000000ACB,IND124103AAA,FTL,afternoon,8,46.5,83.0,261.5,1.8043478260869565,37.0,1.0,True
IND000000ACB,IND124103AAA,FTL,evening,2,48.5,86.0,232.0,1.7738095238095237,37.5,1.0,False
IND000000ACB,IND124112AAA,FTL,morning,5,90.0,188.0,283.0,2.065934065934066,97.0,1.0,True
IND000000ACB,IND125001AAA,FTL,afternoon,2,135.5,241.5,347.5,1.7827342047930284,106.0,1.0,False
IND000000ACB,IND125001AAA,FTL,morning,12,135.0,298.5,438.5,2.219264787175235,164.0,1.0,True
IND000000ACB,IND125005AAA,FTL,afternoon,4,135.5,265.5,407.5,1.9522058823529411,129.5,1.0,False
IND000000ACB,IND125033AAA,FTL,morning,2,119.0,272.0,373.0,2.286087570621469,153.0,1.0,False
IND000000ACB,IND127021AAA,FTL,afternoon,1,101.0,184.0,318.0,1.8217821782178218,83.0,1.0,False
IND000000ACB,IND131028AAB,Carting,afternoon,19,97.0,231.0,475.0,2.3333333333333335,132.0,1.0,True
IND000000ACB,IND131028AAB,Carting,evening,16,101.0,211.0,410.0,2.103523587652883,110.0,1.0,True
IND000000ACB,IND131028AAB,Carting,morning,13,98.0,197.0,351.0,2.0309278350515463,100.0,1.0,True
IND000000ACB,IND131028AAB,Carting,night,25,97.0,202.0,374.0,2.082474226804124,105.0,1.0,True
IND000000ACB,IND160002AAC,FTL,afternoon,9,211.0,431.0,877.0,2.042654028436019,220.0,1.0,True
IND000000ACB,IND160002AAC,FTL,evening,6,211.0,453.0,838.0,2.146919431279621,242.0,1.0,True
IND000000ACB,IND160002AAC,FTL,morning,13,211.0,513.0,852.0,2.4312796208530805,302.0,1.0,True
IND000000ACB,IND160002AAC,FTL,night,13,212.0,611.0,828.0,2.8820754716981134,399.0,1.0,True
IND000000ACB,IND201007AAA,Carting,afternoon,2,76.0,130.0,259.0,1.7148302148302148,54.0,1.0,False
IND000000ACB,IND201007AAA,Carting,evening,3,77.0,89.0,171.0,1.155844155844156,12.0,0.3333333333333333,False
IND000000ACB,IND201007AAA,Carting,night,4,77.0,133.5,186.5,1.7221112221112223,56.0,1.0,False
IND000000ACB,IND201301AAF,Carting,afternoon,2,78.0,130.5,256.0,1.6730769230769231,52.5,1.0,False
IND000000ACB,IND201301AAF,Carting,evening,3,79.0,94.0,180.0,1.205128205128205,16.0,0.6666666666666666,False
IND000000ACB,IND201301AAF,Carting,night,4,79.0,156.5,174.5,1.9780448717948718,77.5,1.0,False
IND000000ACB,IND201301AAM,Carting,afternoon,8,82.0,275.0,405.5,3.347560975609756,192.5,1.0,True
