facility_id,in_degree,out_degree,betweenness_centrality,weighted_betweenness_centrality,clustering_coefficient,weak_component_size,outgoing_legs,outgoing_breaches,outgoing_excess_min,source_dwell_min,incoming_legs,incoming_breaches,incoming_excess_min,throughput_legs,attributed_breaches,attributed_excess_min,facility_name,structural_percentile,weighted_structural_percentile,throughput_percentile,excess_time_percentile,low_redundancy_percentile,sla_breach_contribution_pct,excess_time_contribution_pct,observed_impact_index,bottleneck_score
IND000000ACB,41,48,0.22015170371191076,0.19611390811831342,0.02664778578784758,1263,777.0,757.0,304064.0,129786.0,694.0,668.0,205734.0,1471.0,712.5,254899.0,Gurgaon_Bilaspur_HB (Haryana),1.0,1.0,1.0,1.0,0.42327044025157234,3.9598732840549102,12.137874220844465,1.0,94.23270440251572
IND562132AAA,36,35,0.12500412693244115,0.08606873768493405,0.05156313438895656,1263,574.0,557.0,117588.0,101761.0,512.0,490.0,140768.0,1086.0,523.5,129178.0,Bangalore_Nelmngla_H (Karnataka),0.9993710691823899,0.9981132075471698,0.9993710691823899,0.9993710691823899,0.4050314465408805,2.9094647918635026,6.151245458398213,0.6207589796660432,75.05052759965436
IND421302AAG,27,27,0.05608085414730227,0.05672975256525895,0.05634301913536499,1263,554.0,554.0,131594.0,96699.0,414.0,414.0,90652.0,968.0,484.0,111123.0,Bhiwandi_Mankoli_HB (Maharashtra),0.9974842767295597,0.9968553459119497,0.9987421383647799,0.9987421383647799,0.39937106918238996,2.689934974712388,5.291495835773775,0.5576236931270266,71.78684503370982
IND411033AAA,22,19,0.04239284158161339,0.057659475645693875,0.055762081784386616,1263,319.0,313.0,64505.0,44504.0,263.0,257.0,57317.0,582.0,285.0,60911.0,Pune_Tathawde_H (Maharashtra),0.9949685534591195,0.9974842767295597,0.9968553459119497,0.9968553459119497,0.4,1.583949313621964,2.900482374061323,0.31948065704455486,59.82623411008938
IND501359AAE,30,27,0.09040308522265374,0.10599952760873323,0.03670886075949367,1263,251.0,251.0,45947.0,43705.0,307.0,304.0,77001.0,558.0,277.5,61474.0,Hyderabad_Shamshbd_H (Telangana),0.9981132075471698,0.9993710691823899,0.9962264150943396,0.9974842767295597,0.41446540880503147,1.542266436947702,2.927291514883121,0.31532185813121855,59.81955202605778
IND160002AAC,30,28,0.05142723664586876,0.04984480837242186,0.023518631643249847,1263,296.0,280.0,34127.0,59519.0,322.0,316.0,50767.0,618.0,298.0,42447.0,Chandigarh_Mehmdpur_H (Punjab),0.9968553459119497,0.9955974842767296,0.9981132075471698,0.9955974842767296,0.42641509433962266,1.6561996331906852,2.0212568391880117,0.2923851972191531,58.76391394900797
IND712311AAA,21,21,0.09101796287326265,0.09280586145620157,0.030035335689045935,1263,212.0,212.0,51818.0,31496.0,162.0,162.0,94187.0,374.0,187.0,73002.5,Kolkata_Dankuni_HB (West Bengal),0.9987421383647799,0.9987421383647799,0.9937106918238994,0.9981132075471698,0.42138364779874216,1.0392930584116045,3.476259862954339,0.27442694502390796,57.80939756566082
IND131028AAB,19,18,0.0442945191573598,0.047860527271084426,0.031914893617021274,1263,200.0,199.0,22926.0,34560.0,262.0,259.0,42223.0,462.0,229.0,32574.5,Sonipat_Kundli_H (Haryana),0.9962264150943396,0.9949685534591195,0.9955974842767296,0.9943396226415094,0.41949685534591197,1.272717167787473,1.5511445074594172,0.2245986311881493,55.25194413802382
IND110037AAM,19,22,0.03164404789201805,0.037716598529246255,0.040740740740740744,1263,185.0,179.0,31192.0,30895.0,133.0,133.0,64412.0,318.0,156.0,47802.0,Delhi_Airport_H (Delhi),0.9924528301886792,0.9924528301886792,0.9918238993710692,0.9962264150943396,0.4119496855345912,0.867003834824654,2.2762531963829087,0.20324023488353798,53.97018784480583
IND600056AAB,18,18,0.04092066528535442,0.03795616272452456,0.03970826580226904,1263,222.0,222.0,18599.0,42756.0,186.0,186.0,29951.0,408.0,204.0,24275.0,MAA_Poonamallee_HB (Tamil Nadu),0.9943396226415094,0.9930817610062893,0.9943396226415094,0.9911949685534591,0.4125786163522013,1.1337742455399322,1.155935867582844,0.19077479397928715,53.425532151794556
