data,trip_uuid,source_center,destination_center,od_start_time,trip_creation_time,route_schedule_uuid,route_type,source_name,destination_name,od_end_time,actual_elapsed_min,actual_distance_km,actual_movement_min,osrm_time_min,osrm_distance_km,checkpoint_count,minimum_segment_actual_min,dwell_time_min,movement_delay_ratio,elapsed_delay_ratio,movement_excess_min,departure_hour,departure_weekday,is_weekend,time_bucket,has_negative_segment,is_model_eligible
training,trip-153726021817272950,IND562132AAA,IND560058AAD,2018-09-18 08:43:38.173182,2018-09-18 08:43:38.173182,thanos::sroute:1c54d04c-24d8-4975-b53f-259dc1aa20a1,Carting,Bangalore_Nelmngla_H (Karnataka),Bengaluru_Peenya_L (Karnataka),2018-09-18 13:46:49.642741,303.0,10.967178317010186,43.0,22.0,16.523799999999998,2,9.0,260.0,1.9545454545454546,13.772727272727273,21.0,8,1,0,morning,0,True
training,trip-153726055805713249,IND411033AAA,IND410505AAB,2018-09-18 08:49:12.163550,2018-09-18 08:49:12.163550,thanos::sroute:0d109df7-6236-475b-93c2-42d4cfbc3fd5,Carting,Pune_Tathawde_H (Maharashtra),Rajgurunagar_Chakan_D (Maharashtra),2018-09-18 10:21:47.278071,92.0,16.548586028926515,45.0,29.0,31.9402,2,19.0,47.0,1.5517241379310345,3.1724137931034484,16.0,8,1,0,morning,0,True
training,trip-153726055805713249,IND410505AAB,IND410501AAF,2018-09-18 10:21:47.278071,2018-09-18 08:49:12.163550,thanos::sroute:0d109df7-6236-475b-93c2-42d4cfbc3fd5,Carting,Rajgurunagar_Chakan_D (Maharashtra),Talegaon_Central_DPP_4 (Maharashtra),2018-09-18 11:19:16.988602,57.0,14.709442763350587,49.0,11.0,15.5722,2,18.0,8.0,4.454545454545454,5.181818181818182,38.0,10,1,0,morning,0,True
training,trip-153726055805713249,IND410501AAF,IND411033AAA,2018-09-18 11:19:16.988602,2018-09-18 08:49:12.163550,thanos::sroute:0d109df7-6236-475b-93c2-42d4cfbc3fd5,Carting,Talegaon_Central_DPP_4 (Maharashtra),Pune_Tathawde_H (Maharashtra),2018-09-18 14:03:10.207944,163.0,13.525762306675668,62.0,16.0,17.462,2,28.0,101.0,3.875,10.1875,46.0,11,1,0,morning,0,True
training,trip-153726055772373184,IND501359AAE,IND518002AAA,2018-09-18 08:49:17.723962,2018-09-18 08:49:17.723962,thanos::sroute:f6912dfd-a9cf-4ea7-a7ce-1403d4a419b4,FTL,Hyderabad_Shamshbd_H (Telangana),Kurnool_AbbasNgr_I (Andhra Pradesh),2018-09-18 15:49:46.790453,420.0,163.5804568711571,248.0,139.0,194.7571,8,18.0,172.0,1.7841726618705036,3.0215827338129495,109.0,8,1,0,morning,0,True
training,trip-153726055772373184,IND518002AAA,IND562132AAA,2018-09-18 15:49:46.790453,2018-09-18 08:49:17.723962,thanos::sroute:f6912dfd-a9cf-4ea7-a7ce-1403d4a419b4,FTL,Kurnool_AbbasNgr_I (Andhra Pradesh),Bangalore_Nelmngla_H (Karnataka),2018-09-18 23:58:01.617421,488.0,308.3858930958112,419.0,284.0,346.6438,13,22.0,69.0,1.4753521126760563,1.7183098591549295,135.0,15,1,0,afternoon,0,True
training,trip-153726062978787490,IND131028AAB,IND000000ACB,2018-09-18 08:50:29.788103,2018-09-18 08:50:29.788103,thanos::sroute:6a74dc96-d3ef-4697-9ae8-8eab11cea36d,Carting,Sonipat_Kundli_H (Haryana),Gurgaon_Bilaspur_HB (Haryana),2018-09-18 13:08:09.806843,257.0,72.0308132141467,138.0,97.0,107.0416,9,11.0,119.0,1.422680412371134,2.649484536082474,41.0,8,1,0,morning,0,True
training,trip-153726074330796694,IND305001AAC,IND306401AAB,2018-09-18 16:53:24.548470,2018-09-18 08:52:23.308328,thanos::sroute:6c488175-9e94-44b2-b01a-69621bf9406a,FTL,Ajmer_FoySGRRD_I (Rajasthan),Pali_Nayagaon_I (Rajasthan),2018-09-18 21:36:56.089563,283.0,144.74965345881867,273.0,124.0,167.2921,7,25.0,10.0,2.2016129032258065,2.282258064516129,149.0,16,1,0,afternoon,0,True
training,trip-153726074330796694,IND306401AAB,IND342005AAD,2018-09-18 21:36:56.089563,2018-09-18 08:52:23.308328,thanos::sroute:6c488175-9e94-44b2-b01a-69621bf9406a,FTL,Pali_Nayagaon_I (Rajasthan),Jodhpur_Basni_I (Rajasthan),2018-09-19 00:12:05.149441,155.0,61.023811432265546,89.0,54.0,69.5512,3,29.0,66.0,1.6481481481481481,2.8703703703703702,35.0,21,1,0,evening,0,True
training,trip-153726074330796694,IND342005AAD,IND342601AAA,2018-09-19 00:12:05.149441,2018-09-18 08:52:23.308328,thanos::sroute:6c488175-9e94-44b2-b01a-69621bf9406a,FTL,Jodhpur_Basni_I (Rajasthan),Piparcity_BsstdDPP_D (Rajasthan),2018-09-19 05:01:49.958915,289.0,55.50311286642626,105.0,49.0,60.626,3,20.0,184.0,2.142857142857143,5.8979591836734695,56.0,0,2,0,night,0,True
