source_center,destination_center,observation_count,trip_count,route_type_count,median_osrm_time_min,median_osrm_distance_km,median_actual_movement_min,median_actual_elapsed_min,median_movement_delay_ratio,mean_movement_delay_ratio,median_excess_min,total_excess_min,breach_rate,chronic_delay,sla_breach_contribution_pct,corridor_priority_score,recommended_intervention
IND854334AAA,IND852118A1B,3,3,1,22.0,24.6605,27.0,42.0,1.2272727272727273,1.2289666854884247,5.0,15.0,0.6666666666666666,False,0.011115433779803258,12.624601275917065,Monitor; current evidence does not justify capital action
IND110043AAC,IND000000ACB,1,1,1,58.0,55.6689,94.0,233.0,1.6206896551724137,1.6206896551724137,36.0,36.0,1.0,False,0.005557716889901629,12.511961722488039,Monitor; current evidence does not justify capital action
IND361335AAA,IND360002AAB,1,1,1,187.0,243.7123,250.0,283.0,1.3368983957219251,1.3368983957219251,63.0,63.0,1.0,False,0.005557716889901629,12.446172248803828,Monitor; current evidence does not justify capital action
IND507002AAA,IND507117AAB,1,1,1,111.0,135.5658,162.0,191.0,1.4594594594594594,1.4594594594594594,51.0,51.0,1.0,False,0.005557716889901629,12.426236044657097,Monitor; current evidence does not justify capital action
IND141010AAA,IND000000ACA,1,1,1,11.0,15.531,20.0,23.0,1.8181818181818181,1.8181818181818181,9.0,9.0,1.0,False,0.005557716889901629,12.396331738437002,Monitor; current evidence does not justify capital action
IND504208AAB,IND504251AAA,1,1,1,19.0,21.5952,34.0,40.0,1.7894736842105263,1.7894736842105263,15.0,15.0,1.0,False,0.005557716889901629,12.384370015948964,Monitor; current evidence does not justify capital action
IND505325AAA,IND505327AAA,2,2,1,22.5,31.796799999999998,32.0,43.0,1.4219367588932808,1.4219367588932808,9.5,19.0,1.0,False,0.011115433779803258,12.353468899521532,Monitor; current evidence does not justify capital action
IND521185AAA,IND520011AAA,1,1,1,29.0,41.8469,50.0,72.0,1.7241379310344827,1.7241379310344827,21.0,21.0,1.0,False,0.005557716889901629,12.349481658692184,Monitor; current evidence does not justify capital action
IND815353AAA,IND826004AAA,1,1,1,87.0,105.4126,132.0,209.0,1.5172413793103448,1.5172413793103448,45.0,45.0,1.0,False,0.005557716889901629,12.325558213716109,Monitor; current evidence does not justify capital action
IND785612AAB,IND785621AAA,1,1,1,36.0,48.7818,61.0,95.0,1.6944444444444444,1.6944444444444444,25.0,25.0,1.0,False,0.005557716889901629,12.269736842105264,Monitor; current evidence does not justify capital action
IND756100AAC,IND757037AAA,1,1,1,143.0,192.2839,198.0,229.0,1.3846153846153846,1.3846153846153846,55.0,55.0,1.0,False,0.005557716889901629,12.109250398724082,Monitor; current evidence does not justify capital action
IND560300AAA,IND563131AAB,1,1,1,80.0,80.017,122.0,276.0,1.525,1.525,42.0,42.0,1.0,False,0.005557716889901629,12.082336523125996,Monitor; current evidence does not justify capital action
IND732204AAB,IND732139AAA,4,4,1,58.0,40.708200000000005,39.0,93.0,0.6668614845119814,0.6610169491525424,0.0,0.0,0.0,False,0.0,12.033492822966506,Monitor; current evidence does not justify capital action
IND573103AAA,IND577116AAA,2,2,1,35.0,40.8386,46.0,61.5,1.3453919035314383,1.3453919035314383,11.0,22.0,1.0,False,0.011115433779803258,11.950757575757576,Monitor; current evidence does not justify capital action
IND695582AAA,IND691574AAA,1,1,1,39.0,35.4313,65.0,68.0,1.6666666666666667,1.6666666666666667,26.0,26.0,1.0,False,0.005557716889901629,11.939792663476874,Monitor; current evidence does not justify capital action
IND792001AAA,IND792110AAA,1,1,1,43.0,62.2986,71.0,89.0,1.6511627906976745,1.6511627906976745,28.0,28.0,1.0,False,0.005557716889901629,11.908891547049441,Monitor; current evidence does not justify capital action
IND184104AAA,IND184121AAA,2,2,1,39.5,42.491200000000006,51.5,68.5,1.3003205128205129,1.3003205128205129,12.0,24.0,0.5,False,0.005557716889901629,11.879984051036683,Monitor; current evidence does not justify capital action
IND400016AAA,IND400015AAA,1,1,1,10.0,12.2279,18.0,82.0,1.8,1.8,8.0,8.0,1.0,False,0.005557716889901629,11.827153110047847,Monitor; current evidence does not justify capital action
IND854334AAA,IND854335AAA,2,2,1,30.5,36.50075,41.0,90.0,1.3459051724137931,1.3459051724137931,10.5,21.0,1.0,False,0.011115433779803258,11.81818181818182,Monitor; current evidence does not justify capital action
IND464001AAA,IND464221AAA,1,1,1,68.0,74.5083,105.0,123.0,1.5441176470588236,1.5441176470588236,37.0,37.0,1.0,False,0.005557716889901629,11.703548644338117,Monitor; current evidence does not justify capital action
IND148023AAA,IND148001AAA,2,2,1,29.5,32.92355,39.5,56.5,1.3408045977011493,1.3408045977011493,10.0,20.0,1.0,False,0.011115433779803258,11.639752791068581,Monitor; current evidence does not justify capital action
IND465001AAA,IND465333A1B,2,2,1,81.0,69.26985,81.0,115.0,1.056100981767181,1.056100981767181,15.0,30.0,0.5,False,0.005557716889901629,11.567982456140351,Monitor; current evidence does not justify capital action
IND335804AAD,IND335701AAA,2,2,1,70.0,76.45384999999999,83.0,96.0,1.1851398244539701,1.1851398244539701,13.0,26.0,0.5,False,0.005557716889901629,11.488237639553429,Monitor; current evidence does not justify capital action
IND414302AAB,IND412210AAC,1,1,1,19.0,22.8751,33.0,40.0,1.736842105263158,1.736842105263158,14.0,14.0,1.0,False,0.005557716889901629,11.418460925039872,Monitor; current evidence does not justify capital action
IND505001AAB,IND505172AAA,1,1,1,24.0,34.1481,41.0,104.0,1.7083333333333333,1.7083333333333333,17.0,17.0,1.0,False,0.005557716889901629,11.384569377990431,Monitor; current evidence does not justify capital action
