segment,model,count,mae_minutes,median_absolute_error_minutes,median_absolute_percentage_error,within_15_percent
overall,OSRM,7421,207.48861339442124,105.0,71.42857142857143,0.4312087319768225
overall,tabular_baseline,7421,102.60372598782153,47.1348423856565,32.87837761236785,24.53847190405606
overall,graphsage,7421,62.37846630047608,25.351267931994613,16.073796615299848,47.63508961056461
FTL,OSRM,3611,274.78205483245637,120.0,64.58333333333334,0.7477153143173636
FTL,tabular_baseline,3611,123.12485101572325,49.581702608149186,27.65898909435484,29.02243145942952
FTL,graphsage,3611,68.93623272661223,25.54246490944672,13.100590371642909,54.998615342010524
Carting,OSRM,3810,143.70997375328085,98.0,77.58620689655173,0.13123359580052493
Carting,tabular_baseline,3810,83.15443924877871,45.4207438197427,38.13703945604542,20.288713910761157
Carting,graphsage,3810,56.163218383211586,25.122772509924562,20.008900741095214,40.656167979002625
seen_corridor,OSRM,6989,205.25296895120906,104.0,71.42857142857143,0.4435541565316926
seen_corridor,tabular_baseline,6989,99.62883327315085,46.995093134410126,32.805468925613624,24.66733438260123
seen_corridor,graphsage,6989,56.745425567909,24.040235772465422,15.222350650048233,49.42051795678924
unseen_corridor,OSRM,432,243.65740740740742,128.0,70.94605584169152,0.23148148148148145
unseen_corridor,tabular_baseline,432,150.73225650363972,49.03743835504277,34.154592041918455,22.453703703703702
unseen_corridor,graphsage,432,153.51115537434478,66.90212299019832,39.189600985605836,18.75
seen_nodes,OSRM,7261,207.1765597025203,105.0,71.42857142857143,0.44071064591654047
seen_nodes,tabular_baseline,7261,101.87253899200546,47.05468448374154,32.89739984728704,24.528301886792452
seen_nodes,graphsage,7261,60.490260136626794,24.889804990816955,15.777503960023164,48.299132350915855
unseen_node,OSRM,160,221.65,119.5,74.27769434313095,0.0
unseen_node,tabular_baseline,160,135.78590584169962,48.56154476540043,31.02204292661102,25.0
unseen_node,graphsage,160,148.067622273661,59.43060831654816,41.88731894158403,17.5
